roomid,userid,username
4239802,354681,eraff
4239802,354735,sralston
4239802,354912,croe5
4239802,355990,kth2f
4239802,897115,mgrua
4239802,1984912,nabdi
4239802,3270543,LPEART
4239802,3292247,pmcf8
4239802,3772268,bhelh
4239802,4035003,ksel2
4239802,6547948,jmcj6
4239802,7545994,skunv
4239802,7688006,akuqm
4239802,10350117,llomo
4240075,1437,wswaa
4240075,1446,jwas3
4240075,67752,stalu
4240075,241373,mzago
4240075,4688329,scoc8
4248094,1431,mst2z
4248094,15135,melai
4248094,49204,acy2k
4248094,10350117,llomo
4258467,1295,ctonn
4258467,1306,jdehp
4258467,10350117,llomo
4265385,1306,jdehp
4265385,1342,lkinz
4265385,1447,aando
4265385,49203,sfreg
4265385,49204,acy2k
4265385,7178369,mgasz
4265385,10350117,llomo
4285394,1317,cgon2
4285394,1431,mst2z
4285394,49204,acy2k
4285394,10350117,llomo
4291497,350860,lmoore1
4291497,351147,rduc6
4291497,351868,jjasa
4291497,355126,kscoy
4291497,355494,tsti2
4291497,1037483,pyedor
4410639,1397,lpetj
4410639,1413,prudd
4410639,8046,dca3p
4410639,48188,lmcgq
4410639,49204,acy2k
4410639,332940,tches
4410639,351827,cmccf
4410639,352413,lyola
4410639,352856,mmckc
4410639,355688,dtohi
4410639,356003,nwray
4410639,7178369,mgasz
4410639,7226814,hmalo
4410639,10350117,llomo
4411021,1424,dshih
4411383,1424,dshih
4411383,10350117,llomo
4419243,1324,hmcgi
4419243,1338,bkelm
4419243,10350117,llomo
4447924,1307,ddel4
4447924,49204,acy2k
4447924,350198,ch1m5
4447924,4077601,esout
4447924,6212099,mgibh
4562619,1362,gmcro
4562619,48188,lmcgq
4562619,315649,jokan
4562619,351643,zhark
4562619,1499459,dquid
4641498,1013,scone
4641498,1434,cstiw
4678922,1017,cspag
4678922,1483721,msch6
4678922,10600860,raltm
4678922,12358669,hsjoe
4679440,1317,cgon2
4679440,1425,Jsied
4679440,350775,achpj
4705895,48061,ajady
4705895,139310,jfox4
4705895,350598,sbunt
4705895,352232,akpaa
4705895,1083361,jhorx
4705895,1338781,aguqz
4705895,2633487,mkuol
4705895,5813184,jpavj
4705895,6406132,jkucz
4719689,331435,cvarl
4719689,1243442,pbarb
4719689,1669235,pnooo
4719689,2342978,JOWA0
4719689,9101410,kbat8
4719689,9135721,mmadeysk
4763160,1431,mst2z
4763160,10350117,llomo
